2014-04-10 20:39:02.4405 3948 MES.Runtime 1  MES Runtime Starting
2014-04-10 20:39:04.4006 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\GeneralSettings.Plugin.Library.dll'
2014-04-10 20:39:04.4386 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\GeneralSettings.Plugin.Library.dll' with label General Settings
2014-04-10 20:39:04.4796 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\SysConfig\Sys.Config.Plugin.dll'
2014-04-10 20:39:04.4796 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\SysConfig\Sys.Config.Plugin.dll' with label System Configuration
2014-04-10 20:39:04.4796 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\Product.Setup.Plugin.dll'
2014-04-10 20:39:04.4796 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\Product.Setup.Plugin.dll' with label Product Setup
2014-04-10 20:39:04.5016 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\ModuleConfig\Elink.Configuration.Plugin.dll'
2014-04-10 20:39:04.5016 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\ModuleConfig\Elink.Configuration.Plugin.dll' with label Module Configuration
2014-04-10 20:39:04.5016 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\DBUtilityManager.Plugin.Library.dll'
2014-04-10 20:39:04.5016 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\DBUtilityManager.Plugin.Library.dll' with label Database Utilities
2014-04-10 20:39:04.5016 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\UnifiedLogging.Plugin.Library.dll'
2014-04-10 20:39:04.5016 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\UnifiedLogging.Plugin.Library.dll' with label System Monitoring
2014-04-10 20:39:04.5016 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\MES.Console.AppStatusPlugin.dll'
2014-04-10 20:39:04.5016 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\MES.Console.AppStatusPlugin.dll' with label Application Status
2014-04-10 20:39:04.5106 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\NotificationsManager.Plugin.dll'
2014-04-10 20:39:04.5106 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\NotificationsManager.Plugin.dll' with label Email Settings
2014-04-10 20:39:04.5106 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\ProductImport.Plugin.dll'
2014-04-10 20:39:04.5106 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\ProductImport.Plugin.dll' with label Product Import
2014-04-10 20:39:04.5106 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\SecurityManager.Plugin.Library.dll'
2014-04-10 20:39:04.5106 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\SecurityManager.Plugin.Library.dll' with label Security Manager
2014-04-10 20:39:04.5276 3948 MES.Runtime 1  Attempting to load Runtime plugin at 'Plugins\PublishManager\PublishManager.Plugin.dll'
2014-04-10 20:39:04.5276 3948 MES.Runtime 1  Found Runtime plugin at 'Plugins\PublishManager\PublishManager.Plugin.dll' with label Publish Manager
2014-04-10 20:39:13.0721 3948 MES.Runtime 1  Looking for default service channel...Failure
2014-04-10 20:39:13.1041 3948 MES.Runtime 1  Looking for PostMaster service channel...Success
2014-04-10 20:39:13.1461 3948 MES.Runtime 1  Looking for PostMasterEx service channel...Success
2014-04-10 20:39:13.1471 3948 MES.Runtime 1  Looking for UnifiedLogging service channel...Success
2014-04-10 20:39:13.7222 3948 MES.Runtime 1  Looking for LicServer service channel...Success
2014-04-10 20:39:13.7302 3948 MES.Runtime 1  Looking for EmailNotifications service channel...Failure
2014-04-10 20:39:13.8792 3948 MES.Runtime 1  Looking for DGSImport service channel...Success
2014-04-10 20:39:13.8862 3948 MES.Runtime 4  MES.Runtime: Sending BRE Request [Adapter: PanaCIMConfig.DR.Library, Rule: GetPMAddress] Arguments: , , drrule
2014-04-10 20:39:13.9342 3948 MES.Runtime 4  GetServiceProxy: created channel at the following addreass: http://app-srv:19884/MESService/PanaCIM/CommonService/
2014-04-10 20:39:14.0712 3948 MES.Runtime 4  MES.Runtime: Sending BRE Request [Adapter: PanaCIMConfig.DR.Library, Rule: GetDBAddress] Arguments: , , drrule
2014-04-10 20:40:26.4393 3948 MES.Runtime 10  MES.Runtime: Sending BRE Request [Adapter: SecurityManager.DR.Library, Rule: LoginUser] Arguments: , <User User_Name="admin" Password="9D4E1E23BD5B727046A9E3B4B7DB57BD8D6EE684" />, drrule
2014-04-10 20:40:31.9796 3948 MES.Runtime 1  Successfully instantiated Runtime plugin at 'Plugins\GeneralSettings.Plugin.Library.dll' with label General Settings
2014-04-10 20:40:34.0448 3948 MES.Runtime 1  MES.Runtime: Sending BRE Request [Adapter: SecurityManager.DR.Library, Rule: GetUserRoles] Arguments: , <User User_Name="admin" />, drrule
2014-04-10 20:40:34.6708 3948 MES.Runtime 1  MES.Runtime: Sending BRE Request [Adapter: SecurityManager.DR.Library, Rule: GetRoleActivities] Arguments: , <Role Role_Name="superadmin" />, drrule
2014-04-10 20:40:35.7839 3948 MES.Runtime 1  Successfully instantiated Runtime plugin at 'Plugins\ModuleConfig\Elink.Configuration.Plugin.dll' with label Module Configuration
2014-04-10 20:40:37.4700 3948 MES.Runtime 1  Successfully instantiated Runtime plugin at 'Plugins\ProductImport.Plugin.dll' with label Product Import
2014-04-10 20:40:37.6500 3948 MES.Runtime 1  Successfully instantiated Runtime plugin at 'Plugins\SecurityManager.Plugin.Library.dll' with label Security Manager
2014-04-10 20:40:38.4460 3948 MES.Runtime 11  GetServiceProxy: created channel at the following addreass: http://app-srv:19884/MESService/PanaCIM/CommonService/
